position_err, heading_err
0.10944285088475526, 0.36090992260075216
0.07435356621494414, 0.11030450107138592
0.0557693838573185, 0.25335492832611334
0.052671679989738755, 0.22222825260574736
0.08199243034356477, 0.1797805483211036
0.10012415757630247, 0.17451289101343967
0.08656986906547107, 0.10591398771225188
0.055606656596357655, 0.15688166375982301
0.10483791640335909, 0.21141043715278948
0.1062410681750689, 0.17905236226575208
0.05716419357900127, 0.09241588972037841
1.0, 1.0
1.0, 1.0
1.0, 1.0
1.0, 1.0
0.06367782562364657, 0.12992486253956512
1.0, 1.0
1.0, 1.0
1.0, 1.0
0.05588788663923825, 0.23826761704975077
0.08147520073352325, 0.08616322330149379
0.09566576935591375, 0.22153687500217634
0.08349135754647115, 0.13277641110698213
0.05926766751302998, 0.17312349590926843
0.07531999797885973, 0.11258315409243747
0.07991145161612245, 0.08283448933345564
1.0, 1.0
0.08099492042759222, 0.06680922620124995
0.05706950887009788, 0.14187947591608813
1.0, 1.0
1.0, 1.0
0.0635919123535063, 0.08593108794612463
0.07851780076669473, 0.16589072404836191
0.0584273576716426, 0.22364382574364328
1.0, 1.0
1.0, 1.0
1.0, 1.0
0.05710238072646213, 0.07737523622768827
0.08529374246986153, 0.10070856749995881
0.07779481178045218, 0.1059219953439856
0.056373414801366956, 0.20835317911801202
0.1137727514304446, 0.32258044233041616
0.10501037194992406, 0.3006536761123844
0.14304410467272588, 0.5732956588776758
0.07376435564531228, 0.1370639354116865
0.07552223857854809, 0.20591330590715523
0.08788529390812701, 0.07535507454174177
0.06902339593199328, 0.09857783178331943
0.07146095734200589, 0.13387046594551028
0.0672536340007477, 0.08584960217054698
1.0, 1.0
1.0, 1.0
0.0797184971102517, 0.17929465652626056
0.05361332038317597, 0.07402302466896857
1.0, 1.0
0.05951271275807487, 0.1580209505912659
0.0759085669977435, 0.10662972768851701
1.0, 1.0
0.08416964142842845, 0.2554670486079666
1.0, 1.0
0.07860679807189479, 0.17298034955311806
0.0750130130127464, 0.1291881397766273
0.07554678246903532, 0.09383237687350666
0.07535376130853816, 0.12700316526300737
0.07290736125756762, 0.15448526210261074
1.0, 1.0
0.0712170255663269, 0.1871951021083395
0.07313146404399781, 0.17467644795950657
0.072758588110387, 0.2518275892370355
0.06555812700462955, 0.23308635379601025
0.05333975823017678, 0.1386782472032037
0.10500496484359732, 0.24114905050324809
0.0698439581661854, 0.15152302998064507
1.0, 1.0
1.0, 1.0
1.0, 1.0
0.06113969748598427, 0.0932180615230188
0.06301231165791998, 0.08253976829044546
1.0, 1.0
0.07864860178808666, 0.1438773802882101
0.06259611725305941, 0.09684487401377004
1.0, 1.0
1.0, 1.0
0.058243526064235884, 0.09026648669262897
0.12487065939921647, 0.384075209966162
0.051563459549159564, 0.08926291009050465
0.08827605755586233, 0.21876886895355002
0.06652143479224748, 0.18224015702389815
1.0, 1.0
0.05675362014304585, 0.07742749619560235
0.05744989390472395, 0.2061446408826229
0.05473048954206837, 0.18887690894916834
1.0, 1.0
0.05688732370403705, 0.17229993931736665
0.07343830070701907, 0.0812507571603568
1.0, 1.0
0.06572809504068161, 0.19239071130870727
0.07717921443857344, 0.17256901694660542
0.07390520634228655, 0.1884306881147094
0.058549952368065525, 0.20761402845887017
